"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Guatemala City","GT","2025-05-07 23:16:17+02",14754,0.00000,14.47335,199,85.65000,69000000,4.68518,383,222.85000,6800000
"Guatemala City","GT","2025-05-07 23:23:00+02",14754,0.00000,49.72480,142,92.63000,169000000,10.08896,118,59.79000,46800000
"Guatemala City","GT","2025-05-07 23:25:55+02",14754,0.00000,12.39575,298,137.76000,69000000,4.46405,401,286.15000,6800000
"Guatemala City","GT","2025-05-07 23:31:29+02",14754,0.00000,13.47931,214,116.28000,69000000,3.70410,146,32.71000,6800000
"Guatemala City","GT","2025-05-07 23:39:26+02",14754,0.13000,11.22086,185,73.04000,69000000,5.15976,406,308.91000,6800000
"Guatemala City","GT","2025-05-07 23:43:12+02",14754,0.48700,10.79284,190,66.00000,69000000,4.37988,508,244.99000,6800000
"Guatemala City","GT","2025-05-07 23:45:44+02",14754,0.00000,12.31446,165,65.07000,69000000,4.65471,500,420.02000,6800000
"Guatemala City","GT","2025-05-07 23:50:35+02",14754,0.06100,12.55797,180,79.85000,69000000,4.68896,369,263.66000,6800000
"Guatemala City","GT","2025-05-07 02:23:24+02",14754,0.00000,128.15815,149,64.13000,469000000,8.93859,346,133.13000,46800000
"Guatemala City","GT","2025-05-07 02:39:48+02",14754,0.00000,93.82474,87,1.86000,469000000,112.22783,60,25.45000,296800000
"Guatemala City","GT","2025-05-07 02:45:29+02",14754,0.20800,163.08629,79,9.65000,469000000,138.19546,74,25.76000,296800000
"Guatemala City","GT","2025-05-06 00:03:41+02",14754,0.07200,94.03879,38,3.22000,169000000,16.95431,37,4.23000,46800000
"Guatemala City","GT","2025-05-06 00:59:15+02",14754,0.00000,101.84775,120,53.67000,469000000,19.89022,79,13.35000,46800000
"Guatemala City","GT","2025-05-05 21:24:04+02",14754,0.00000,27.45942,166,124.61000,69000000,9.90582,714,145.00000,46800000
"Guatemala City","GT","2025-05-06 22:11:50+02",14754,0.00000,100.13384,143,64.83000,469000000,14.16352,247,114.84000,46800000
"Guatemala City","GT","2025-05-07 11:57:24+02",14754,0.00000,90.66738,200,94.92000,169000000,19.69114,44,6.36000,46800000
"Guatemala City","GT","2025-05-07 21:09:24+02",14754,0.00000,9.08079,314,307.11000,69000000,13.52819,236,166.81000,46800000
"Guatemala City","GT","2025-05-05 18:01:16+02",14754,0.15400,79.97242,81,10.54000,469000000,59.30200,73,32.66000,146800000
"Guatemala City","GT","2025-05-05 18:30:49+02",14754,0.00000,44.58631,64,13.01000,169000000,46.63501,212,84.38000,146800000
"Guatemala City","GT","2025-05-05 18:34:00+02",14754,0.02000,59.06639,42,8.47000,169000000,50.41354,88,33.21000,146800000
"Guatemala City","GT","2025-05-05 18:53:44+02",14754,0.11800,13.38069,347,254.04000,69000000,2.61265,419,248.10000,6800000
"Quetzaltenango","GT","2025-05-06 20:41:00+02",14754,0.19800,39.96638,85,36.23000,169000000,11.76767,68,4.59000,46800000
"Guatemala City","GT","2025-05-07 20:36:02+02",14754,0.00000,140.41050,359,127.15000,469000000,15.34696,90,10.74000,46800000
"Guatemala City","GT","2025-05-07 20:43:46+02",14754,0.29900,128.16315,281,120.66000,469000000,14.67669,85,10.72000,46800000
"Guatemala City","GT","2025-05-07 20:44:20+02",14754,0.00000,96.29361,70,6.59000,469000000,9.72843,70,15.29000,46800000
"Guatemala City","GT","2025-05-07 20:54:08+02",14754,0.32400,131.26992,245,88.67000,469000000,11.33752,120,45.38000,46800000
"Guatemala City","GT","2025-05-07 20:55:12+02",14754,0.00000,158.87226,345,103.71000,469000000,12.87422,64,6.19000,46800000
"Guatemala City","GT","2025-05-07 20:57:26+02",14754,0.00900,160.85432,504,86.06000,469000000,12.70239,52,3.62000,46800000
"Warsaw","PL","2025-05-07 09:37:33+02",12741,0.00000,209.75610,9,1.08000,469000000,171.82126,9,1.73000,296800000
"Warsaw","PL","2025-05-05 10:59:37+02",12741,0.00000,14.19627,132,41.88000,69000000,2.13116,67,5.82000,6800000
"Warsaw","PL","2025-05-05 10:41:10+02",12741,0.00000,16.61165,169,42.66000,69000000,2.54173,82,21.14000,6800000
"Warsaw","PL","2025-05-05 10:39:38+02",12741,0.00000,11.85977,157,70.08000,69000000,2.41627,98,37.51000,6800000
"Warsaw","PL","2025-05-06 10:43:44+02",9009,0.00000,111.08781,144,107.28000,469000000,107.82148,83,4.03000,296800000
"Warsaw","PL","2025-05-05 11:52:29+02",12741,0.00000,213.90731,9,1.19000,469000000,141.12586,10,1.61000,296800000
"Warsaw","PL","2025-05-05 10:34:47+02",12741,0.00000,191.49327,9,1.36000,469000000,145.93796,10,1.94000,296800000
"Warsaw","PL","2025-05-05 11:02:29+02",12741,0.00000,19.12948,159,54.29000,69000000,2.35587,75,13.07000,6800000
"Warsaw","PL","2025-05-05 10:34:07+02",12741,0.01900,15.23276,186,97.28000,69000000,2.20713,78,21.17000,6800000
"Warsaw","PL","2025-05-05 07:51:13+02",14593,0.00000,114.48799,81,74.27000,469000000,1.06002,30,8.67000,6800000
"Warsaw","PL","2025-05-05 15:27:30+02",14593,0.00000,99.90658,40,9.88000,469000000,14.86519,53,43.65000,46800000
"Warsaw","PL","2025-05-07 06:18:46+02",12741,0.00000,219.41934,10,2.52000,469000000,157.40357,10,2.48000,296800000
"Warsaw","PL","2025-05-07 07:48:33+02",12741,0.00000,176.02913,10,1.91000,469000000,165.52996,10,1.66000,296800000
"Warsaw","PL","2025-05-07 07:35:18+02",12741,0.00000,181.79022,23,28.97000,469000000,151.33814,12,3.50000,296800000
"Warsaw","PL","2025-05-07 07:34:21+02",12741,0.00000,73.93932,13,2.91000,169000000,64.72364,19,1.47000,146800000
"Warsaw","PL","2025-05-05 06:48:54+02",137409,0.00000,233.87956,36,14.00000,469000000,24.38556,50,30.18000,46800000
"Warsaw","PL","2025-05-07 11:23:42+02",14593,0.00000,112.08772,29,6.21000,469000000,12.41035,30,6.80000,46800000
"Warsaw","PL","2025-05-07 12:53:07+02",12741,0.00000,215.51827,22,29.06000,469000000,141.55706,10,1.71000,296800000
"Warsaw","PL","2025-05-06 06:31:33+02",12741,0.00000,196.55540,9,0.91000,469000000,175.04280,9,1.47000,296800000
"Darłowo","PL","2025-05-07 19:34:42+02",12741,0.00000,462.09723,6,2.94000,969000000,163.82880,12,16.33000,296800000
"Warsaw","PL","2025-05-07 08:33:27+02",12741,0.09300,70.67937,12,4.18000,169000000,47.28275,26,22.75000,46800000
"Warsaw","PL","2025-05-07 08:31:11+02",12741,0.46400,52.78315,48,56.64000,169000000,38.47325,47,28.38000,46800000
"Warsaw","PL","2025-05-05 18:41:24+02",14593,0.00000,78.40974,35,6.94000,169000000,15.38123,28,6.95000,46800000
"Warsaw","PL","2025-05-05 15:26:11+02",14593,0.00000,116.47325,34,4.04000,469000000,2.04419,32,11.63000,6800000
"Warsaw","PL","2025-05-05 07:33:25+02",5617,0.00000,219.61533,3,0.30000,469000000,29.20417,9,9.90000,46800000
"Wroclaw","PL","2025-05-06 03:20:45+02",5617,0.00000,38.70063,79,38.23000,69000000,21.55395,95,10.74000,46800000
"Gdynia","PL","2025-05-07 04:35:04+02",5617,0.21000,162.68221,18,7.66000,469000000,167.85031,30,20.83000,296800000
"Gdynia","PL","2025-05-07 04:35:59+02",5617,0.00000,133.85025,13,4.33000,469000000,166.16101,30,25.07000,296800000
"Warsaw","PL","2025-05-06 01:37:41+02",5617,0.01200,21.15448,77,27.46000,69000000,4.89796,421,310.82000,6800000
"Legnica","PL","2025-05-05 01:25:38+02",5617,0.00000,330.38374,20,5.57000,469000000,68.48674,75,5.74000,146800000
"Krakow","PL","2025-05-06 06:13:50+02",5617,0.00000,5.10047,426,309.89000,9000000,0.84683,2624,1363.01000,6800000
"Krakow","PL","2025-05-06 06:15:22+02",5617,0.00000,5.25364,NULL,0.00000,9000000,0.88762,2080,1665.99000,6800000
"Borki","PL","2025-05-06 06:37:16+02",5617,0.00000,44.65970,56,21.66000,69000000,83.79054,132,63.40000,146800000
"Lodz","PL","2025-05-06 06:41:09+02",5617,0.00000,133.38073,22,17.02000,469000000,142.83483,52,76.90000,296800000
"Kalisz","PL","2025-05-06 06:49:23+02",5617,0.00000,314.06452,13,7.06000,469000000,193.27624,5,0.81000,296800000
"Krakow","PL","2025-05-06 06:55:31+02",5617,0.00500,507.64648,20,7.56000,969000000,175.11519,13,2.02000,296800000
"Łaziska Górne","PL","2025-05-05 05:55:01+02",5617,0.00000,30.47015,67,27.72000,69000000,6.36877,328,182.56000,6800000
"Lodz","PL","2025-05-05 05:57:18+02",5617,0.00000,138.05547,35,33.36000,469000000,100.55328,13,7.04000,296800000
"Łaziska Górne","PL","2025-05-05 06:04:16+02",5617,0.00000,31.20323,68,21.24000,69000000,6.35586,359,189.17000,6800000
"Krakow","PL","2025-05-05 08:22:58+02",5617,0.02000,15.37880,252,81.12000,69000000,7.32796,656,143.13000,46800000
"Krakow","PL","2025-05-07 07:02:38+02",5617,0.00000,5.27921,1229,710.91000,69000000,0.93809,2341,1846.97000,6800000
"Krakow","PL","2025-05-07 07:05:55+02",5617,0.00000,5.27325,1300,549.78000,69000000,1.00503,2128,1531.38000,6800000
"Warsaw","PL","2025-05-07 07:28:42+02",5617,0.00000,329.35737,18,8.54000,469000000,53.96953,190,44.90000,146800000
"Szczecin","PL","2025-05-07 22:01:35+02",5617,0.00000,30.84290,85,40.07000,69000000,18.18934,79,35.93000,46800000
"Łaziska Górne","PL","2025-05-07 06:02:59+02",5617,0.01690,30.73279,59,15.64000,69000000,5.84263,1368,1456.69000,6800000
"Bytom","PL","2025-05-07 06:17:39+02",5617,0.16000,182.78496,53,25.60000,469000000,10.01225,815,383.11000,46800000
"Wilkszyn","PL","2025-05-07 06:23:12+02",5617,0.00000,44.99786,41,30.16000,169000000,6.53096,28,6.63000,46800000
"Gmina Studzienice","PL","2025-05-07 06:48:02+02",5617,0.04000,8.99924,112,49.50000,69000000,1.40942,1344,1037.61000,6800000
"Warsaw","PL","2025-05-06 21:14:12+02",5617,0.00000,102.73486,12,2.42000,169000000,78.25651,14,10.53000,146800000
"Gdansk","PL","2025-05-07 02:13:01+02",5617,0.00000,368.98136,18,6.82000,469000000,125.02382,7,1.46000,296800000
"Szczecin","PL","2025-05-05 11:00:44+02",5617,0.00000,34.36976,13,1.89000,69000000,26.83466,13,1.74000,46800000
"Bialystok","PL","2025-05-05 11:27:27+02",5617,0.00000,203.21002,25,10.37000,469000000,51.52617,12,2.05000,146800000
"Lublin","PL","2025-05-05 21:02:40+02",5617,0.02700,34.35681,98,74.64000,69000000,19.28604,173,80.53000,46800000
"Gdansk","PL","2025-05-05 21:45:43+02",5617,0.00000,10.03932,81,57.22000,69000000,17.28293,405,259.03000,46800000
"Warsaw","PL","2025-05-07 08:27:40+02",5617,0.00000,748.41001,4,2.99000,969000000,181.47671,16,21.35000,296800000
"Warsaw","PL","2025-05-07 08:29:02+02",5617,0.00000,1012.94083,3,2.12000,969000000,197.05636,20,18.06000,296800000
"Warsaw","PL","2025-05-07 08:41:50+02",5617,0.19300,0.99123,196,160.78000,9000000,7.71546,229,124.98000,46800000
"Poznan","PL","2025-05-07 08:51:34+02",5617,0.00000,730.82579,20,9.12000,969000000,247.65566,16,4.46000,296800000
"Opole","PL","2025-05-07 08:59:44+02",5617,0.00000,432.97619,15,4.47000,969000000,1020.61664,11,1.32000,296800000
"Szczecin","PL","2025-05-07 11:01:28+02",5617,0.00000,65.05089,107,39.12000,169000000,12.77477,121,20.49000,46800000
"Lublin","PL","2025-05-07 11:37:45+02",5617,0.00000,381.70906,15,3.53000,969000000,148.72529,32,13.01000,296800000
"Lublin","PL","2025-05-07 11:38:42+02",5617,0.00000,408.14868,15,5.01000,969000000,158.52779,27,9.78000,296800000
"Puck","PL","2025-05-07 11:56:58+02",5617,0.00000,183.94686,39,41.21000,469000000,61.32074,15,4.79000,146800000
"Warsaw","PL","2025-05-07 21:09:16+02",5617,0.00000,590.10307,6,3.18000,969000000,150.33552,36,26.11000,296800000
"Warsaw","PL","2025-05-07 21:10:05+02",5617,0.00000,253.21327,28,16.44000,469000000,142.65623,33,16.44000,296800000
"Mrzezino","PL","2025-05-07 21:12:58+02",5617,0.00000,53.63512,54,22.09000,169000000,20.64767,321,251.42000,46800000
"Mrzezino","PL","2025-05-07 21:13:53+02",5617,0.00000,214.02094,27,12.71000,469000000,148.73396,35,19.27000,296800000
"Mrzezino","PL","2025-05-07 21:14:57+02",5617,0.01600,69.91212,81,67.27000,169000000,50.45604,264,118.59000,146800000
"Mrzezino","PL","2025-05-07 21:15:50+02",5617,0.00000,354.65165,17,4.14000,969000000,157.30791,27,8.63000,296800000
"Wroclaw","PL","2025-05-05 18:39:33+02",5617,0.00000,47.81598,11,1.60000,69000000,35.03189,10,0.97000,46800000
"Krakow","PL","2025-05-05 02:12:25+02",5617,0.00000,510.17375,10,2.29000,969000000,207.51866,8,1.89000,296800000
"Krakow","PL","2025-05-05 02:45:44+02",5617,0.00000,528.39736,11,2.04000,969000000,190.80430,9,1.55000,296800000
"Lodz","PL","2025-05-07 05:54:22+02",5617,0.00000,134.02972,22,10.25000,469000000,152.57136,55,81.62000,296800000
