"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Guatemala City","GT","2025-05-06 15:51:59+02",14754,0.081,8.55696,84,28.64,69000000,8.35686,338,252.73,46800000
"Guatemala City","GT","2025-05-06 15:55:51+02",14754,0.0,8.63712,61,13.91,69000000,8.82911,418,118.42,46800000
"Guatemala City","GT","2025-05-06 15:57:15+02",14754,0.0,9.08942,80,13.17,69000000,9.48194,304,108.41,46800000
"Guatemala City","GT","2025-05-06 18:02:18+02",14754,0.468,17.01852,178,95.68,469000000,20.9102,50,6.2,46800000
"Guatemala City","GT","2025-05-06 18:32:36+02",14754,0.057,34.83362,108,35.42,169000000,42.30105,144,49.45,46800000
"Guatemala City","GT","2025-05-06 18:59:30+02",14754,0.103,50.98018,49,12.48,469000000,47.57446,61,38.05,46800000
"Guatemala City","GT","2025-05-06 19:02:47+02",14754,0.159,15.85665,301,97.08,469000000,16.51622,110,18.48,46800000
"Guatemala City","GT","2025-05-06 19:38:40+02",14754,0.224,21.1724,231,163.37,169000000,17.46348,122,49.23,46800000
"Guatemala City","GT","2025-05-05 19:45:52+02",14754,0.4233,22.31427,498,315.74,469000000,21.65534,88,19.62,46800000
"Guatemala City","GT","2025-05-05 19:59:57+02",14754,0.014,13.5832,118,83.58,69000000,12.60486,128,99.04,46800000
"Guatemala City","GT","2025-05-07 15:08:11+02",14754,0.196,8.92381,59,20.77,69000000,9.10815,564,221.05,46800000
"Guatemala City","GT","2025-05-07 15:09:57+02",14754,0.347,9.06848,62,24.98,69000000,9.44255,522,149.08,46800000
"Guatemala City","GT","2025-05-07 15:11:13+02",14754,0.326,8.69252,71,21.54,69000000,9.00268,519,194.63,46800000
"Guatemala City","GT","2025-05-07 15:13:04+02",14754,0.01,8.64696,66,19.03,69000000,8.45868,480,143.12,46800000
"Guatemala City","GT","2025-05-07 15:14:45+02",14754,0.121,8.75407,66,24.29,69000000,8.73533,51,10.74,46800000
"Guatemala City","GT","2025-05-07 15:16:35+02",14754,0.105,9.0886,64,19.06,69000000,9.46729,603,157.81,46800000
"Guatemala City","GT","2025-05-07 15:18:42+02",14754,0.0,8.95773,64,18.42,69000000,9.07084,444,126.61,46800000
"Guatemala City","GT","2025-05-07 15:20:22+02",14754,0.094,9.10893,62,26.72,69000000,9.47611,945,216.36,46800000
"Guatemala City","GT","2025-05-07 15:21:41+02",14754,0.185,9.12792,55,15.18,69000000,9.52509,773,148.99,46800000
"Guatemala City","GT","2025-05-07 15:23:54+02",14754,0.211,8.68473,56,19.23,69000000,8.67298,498,244.41,46800000
"Guatemala City","GT","2025-05-07 15:25:16+02",14754,0.41,8.62538,68,11.29,69000000,8.51587,288,106.84,46800000
"Guatemala City","GT","2025-05-07 15:26:28+02",14754,0.0,8.69224,60,21.85,69000000,8.94681,187,33.56,46800000
"Guatemala City","GT","2025-05-07 15:32:40+02",14754,0.165,21.54416,312,138.61,469000000,21.55827,69,8.01,46800000
"Guatemala City","GT","2025-05-07 15:36:25+02",14754,0.072,15.62929,126,58.31,469000000,20.03209,70,7.26,46800000
"Guatemala City","GT","2025-05-07 15:37:30+02",14754,0.29,23.11884,142,58.88,469000000,23.30812,64,5.2,46800000
"Guatemala City","GT","2025-05-07 15:39:04+02",14754,0.0,20.47934,182,72.74,469000000,22.15212,70,10.79,46800000
"Guatemala City","GT","2025-05-07 15:41:56+02",14754,0.0,21.21395,129,56.02,469000000,22.62543,51,4.05,46800000
"Guatemala City","GT","2025-05-07 15:43:39+02",14754,0.0,17.27004,44,1.58,169000000,20.07389,48,5.21,46800000
"Guatemala City","GT","2025-05-07 15:44:45+02",14754,0.0,15.27957,81,43.68,169000000,22.01382,61,7.74,46800000
"Guatemala City","GT","2025-05-07 15:50:21+02",14754,0.43,31.01478,200,135.62,69000000,24.3038,80,18.84,46800000
"Guatemala City","GT","2025-05-07 15:50:59+02",14754,0.19,15.0196,449,788.8,469000000,15.72468,623,408.94,46800000
"Guatemala City","GT","2025-05-07 15:51:30+02",14754,0.0,17.31821,184,109.1,69000000,16.38035,55,12.68,46800000
"Guatemala City","GT","2025-05-07 14:00:27+02",14754,0.198,12.72818,124,94.53,69000000,12.76625,399,367.58,46800000
"Guatemala City","GT","2025-05-07 14:01:30+02",14754,0.0,195.26276,50,6.19,469000000,198.84801,73,35.64,296800000
"Guatemala City","GT","2025-05-07 14:01:42+02",14754,0.337,44.53203,33,1.52,469000000,41.97039,34,1.82,46800000
"Guatemala City","GT","2025-05-07 14:02:50+02",14754,0.221,28.83867,86,33.53,69000000,23.94322,243,92.95,46800000
"Guatemala City","GT","2025-05-07 14:12:53+02",14754,0.173,20.88332,154,125.35,69000000,21.17181,130,42.74,46800000
"Guatemala City","GT","2025-05-07 14:23:21+02",14754,0.068,24.84526,482,193.22,469000000,21.1488,60,6.62,46800000
"Guatemala City","GT","2025-05-07 14:32:25+02",14754,0.0,25.924,404,122.05,469000000,23.6417,65,9.46,46800000
"Guatemala City","GT","2025-05-07 14:34:57+02",14754,0.18,23.47414,108,48.73,169000000,23.05216,81,7.82,46800000
"Guatemala City","GT","2025-05-07 14:35:10+02",14754,0.478,38.33453,36,3.59,469000000,33.29597,38,2.99,46800000
"Guatemala City","GT","2025-05-07 14:36:37+02",14754,0.0,27.53172,201,81.55,469000000,24.53157,68,7.79,46800000
"Guatemala City","GT","2025-05-07 14:42:43+02",14754,0.381,48.33315,37,2.91,169000000,38.03814,56,4.66,46800000
"Guatemala City","GT","2025-05-07 14:59:17+02",14754,0.255,68.50845,121,28.03,169000000,68.9714,105,13.74,146800000
"Guatemala City","GT","2025-05-05 16:02:28+02",23243,0.0,4.71557,72,62.23,69000000,5.06171,59,22.02,6800000
"Guatemala City","GT","2025-05-05 16:44:51+02",52468,0.002,1.88662,133,109.42,69000000,1.90266,79,74.57,6800000
"Guatemala City","GT","2025-05-05 16:46:14+02",52468,0.0,1.91143,149,104.81,69000000,1.91667,66,19.85,6800000
"Guatemala City","GT","2025-05-05 16:48:33+02",52468,0.149,1.93073,130,86.44,69000000,1.93114,149,100.51,6800000
"Guatemala City","GT","2025-05-05 16:56:57+02",52286,0.0,39.96114,12,9.07,169000000,41.54541,22,3.67,146800000
"Guatemala City","GT","2025-05-05 16:57:54+02",52286,0.0,80.55273,49,32.42,169000000,80.54845,46,32.38,146800000
"Guatemala City","GT","2025-05-07 21:02:58+02",23243,0.0,20.63893,88,149.81,69000000,21.18444,324,147.43,46800000
"Guatemala City","GT","2025-05-07 21:04:04+02",23243,0.117,34.10639,20,33.23,69000000,28.26376,78,136.07,46800000
"Guatemala City","GT","2025-05-07 21:38:49+02",52468,0.002,37.82857,57,18.4,69000000,51.8901,146,28.7,46800000
"Guatemala City","GT","2025-05-07 21:40:19+02",52468,0.049,22.63723,57,17.01,69000000,25.26632,83,44.08,46800000
"Guatemala City","GT","2025-05-07 21:55:44+02",52468,0.0,48.26169,38,3.84,69000000,57.12279,44,3.87,46800000
"Guatemala City","GT","2025-05-07 19:18:34+02",22869,0.012,13.01066,28,35.02,69000000,13.11482,12,2.83,46800000
"Guatemala City","GT","2025-05-07 19:26:54+02",23243,0.0,135.72139,27,41.05,469000000,166.37962,11,3.42,296800000
"Guatemala City","GT","2025-05-06 15:53:40+02",23243,0.026,4.83319,50,39.54,69000000,5.17977,123,140.34,6800000
"Guatemala City","GT","2025-05-06 18:53:05+02",23243,0.0,33.79772,127,112.81,69000000,39.35555,80,17.75,46800000
"Guatemala City","GT","2025-05-06 19:52:36+02",23243,0.0,2.0944,151,191.61,69000000,2.12208,132,88.97,6800000
"Guatemala City","GT","2025-05-06 19:59:43+02",23243,0.069,1.93952,91,45.44,69000000,1.95721,83,74.6,6800000
"Guatemala City","GT","2025-05-07 15:59:36+02",23243,0.191,5.12561,30,4.35,69000000,5.23154,81,46.7,6800000
"Guatemala City","GT","2025-05-07 14:23:02+02",22869,0.01,13.89327,26,26.26,69000000,12.03692,13,1.78,46800000
"Guatemala City","GT","2025-05-07 14:24:38+02",23243,0.169,32.72733,40,57.19,69000000,25.40034,5,1.12,46800000
"Guatemala City","GT","2025-05-07 14:25:20+02",22869,0.0,13.26984,14,3.28,69000000,13.62877,16,7.71,46800000
"Guatemala City","GT","2025-05-07 14:31:17+02",22869,0.156,13.98956,22,20.56,69000000,14.00732,26,27.94,46800000
"Guatemala City","GT","2025-05-07 14:50:48+02",22869,0.277,42.99253,21,4.89,69000000,47.28199,19,2.4,46800000
"Guatemala City","GT","2025-05-07 02:59:15+02",14593,0.016,5.49194,42,10.53,169000000,5.81815,37,7.0,6800000
"Guatemala City","GT","2025-05-05 01:46:14+02",14593,0.002,4.91296,46,10.56,169000000,5.07755,51,11.97,6800000
"Guatemala City","GT","2025-05-05 23:12:29+02",14593,0.015,5.78608,43,14.54,169000000,5.29036,38,6.63,46800000
"Guatemala City","GT","2025-05-05 23:16:46+02",14593,0.004,5.09269,58,7.62,169000000,6.06965,52,8.99,46800000
"Guatemala City","GT","2025-05-06 14:33:33+02",14593,0.0,4.05549,67,41.35,169000000,4.38923,72,15.23,6800000
"Guatemala City","GT","2025-05-06 14:34:19+02",14593,0.0,5.79631,33,4.82,169000000,5.69961,61,25.08,6800000
"Guatemala City","GT","2025-05-06 14:37:19+02",14593,0.0,9.51357,39,9.97,169000000,9.32798,38,6.06,46800000
"Guatemala City","GT","2025-05-06 20:18:19+02",14593,0.002,4.40433,136,71.9,9000000,4.26263,82,21.44,6800000
"Guatemala City","GT","2025-05-06 20:25:34+02",14593,0.108,4.26482,83,51.24,169000000,4.4048,41,16.99,6800000
"Guatemala City","GT","2025-05-06 20:49:05+02",14593,0.011,5.26893,81,16.59,69000000,5.47433,75,20.97,6800000
