"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Accra","GH","2025-05-05 09:53:46+02",29614,0.0,430.23836,4,2.55,1000000,84.01254,81,10.97,1000000
"Accra","GH","2025-05-05 09:57:25+02",29614,0.0,11.86981,61,48.32,100000,29.98881,75,23.33,1000000
"Accra","GH","2025-05-06 11:26:54+02",29614,0.0,70.5056,26,21.97,1000000,65.73998,46,377.99,1000000
"Accra","GH","2025-05-06 05:55:09+02",29614,0.0,23.77422,64,30.64,1000000,64.52648,53,11.92,1000000
"Accra","GH","2025-05-05 11:06:51+02",29614,0.0,45.8065,36,27.27,1000000,27.8297,123,9.3,1000000
"Accra","GH","2025-05-05 07:14:20+02",37282,0.005,26.64802,105,66.94,1000000,4.31632,103,1.12,1000000
"Accra","GH","2025-05-05 03:32:17+02",29614,0.0,72.60933,74,69.24,25000000,63.70234,59,39.82,25000000
"Accra","GH","2025-05-07 21:55:21+02",29614,0.0,89.91457,50,31.53,1000000,71.78571,62,27.63,1000000
"Accra","GH","2025-05-06 22:00:13+02",29614,0.0,75.06941,75,61.84,1000000,29.13043,361,250.13,100000
"Accra","GH","2025-05-05 11:10:53+02",29614,0.004,57.40595,73,545.29,1000000,14.43447,40,5.32,100000
"Accra","GH","2025-05-06 04:56:17+02",29614,0.0,288.35409,6,7.3,25000000,90.18508,82,6.48,10000000
"Accra","GH","2025-05-05 06:44:27+02",29614,0.0,19.79322,137,123.11,1000000,14.46824,119,40.71,1000000
"Accra","GH","2025-05-07 09:11:49+02",37282,0.044,16.40903,12,47.2,100000,5.60084,12,31.95,1000000
"Accra","GH","2025-05-06 09:01:56+02",37282,0.537,9.5883,15,59.29,1000000,14.51263,12,92.5,100000
"Accra","GH","2025-05-05 10:07:10+02",29614,0.0,474.38916,7,92.39,25000000,82.71945,68,19.66,25000000
"Accra","GH","2025-05-07 11:21:53+02",29614,0.01,45.83273,83,125.27,1000000,16.20968,92,38.21,100000
"Accra","GH","2025-05-07 11:24:19+02",29614,0.001,16.24293,55,147.63,100000,27.86828,112,19.78,1000000
"Accra","GH","2025-05-07 11:26:17+02",29614,0.002,41.2495,67,51.77,1000000,23.17003,42,79.03,100000
"Accra","GH","2025-05-05 11:57:17+02",37282,0.179,1.73565,74,78.95,1000000,20.39057,12,40.93,1000000
"Accra","GH","2025-05-06 12:12:48+02",37282,0.145,7.48587,107,79.53,1000000,4.16796,103,37.74,1000000
"Accra","GH","2025-05-05 09:07:40+02",29614,0.033,80.02384,77,43.16,1000000,75.84906,125,6.85,1000000
"Accra","GH","2025-05-07 16:31:02+02",29614,0.0,71.57778,12,2.48,1000000,46.26273,91,63.73,10000000
"Accra","GH","2025-05-05 03:39:19+02",14593,0.205,43.23285,70,72.02,1000000,6.25681,38,14.81,100000
"Accra","GH","2025-05-07 09:01:36+02",37282,0.0,6.46293,12,55.19,1000000,18.32688,13,28.84,1000000
"Accra","GH","2025-05-06 10:52:37+02",37282,0.041,8.34453,105,74.79,1000000,2.96679,105,2.42,100000
"Accra","GH","2025-05-05 17:44:27+02",37282,0.163,13.58641,11,26.41,1000000,7.71223,73,27.78,1000000
"Accra","GH","2025-05-06 11:07:44+02",29614,0.001,59.18938,50,30.85,1000000,30.2142,80,127.96,1000000
"Accra","GH","2025-05-07 08:56:41+02",37282,0.0,31.1256,11,39.38,1000000,35.01742,11,49.71,1000000
"Accra","GH","2025-05-07 08:58:00+02",37282,0.002,36.54412,11,66.06,10000000,38.05017,10,1.78,1000000
"Accra","GH","2025-05-05 03:29:19+02",14593,0.01,4.11922,145,289.23,1000000,2.94672,115,182.54,10000000
"Accra","GH","2025-05-06 11:08:19+02",29614,0.0,26.74664,75,57.35,100000,28.14141,115,48.35,1000000
"Accra","GH","2025-05-06 11:09:37+02",29614,0.0,64.24348,39,54.29,10000000,47.32195,54,160.8,10000000
"Accra","GH","2025-05-06 11:11:42+02",29614,0.003,53.18506,29,21.35,25000000,24.51967,24,3.47,1000000
"Accra","GH","2025-05-06 03:54:05+02",29614,0.0,24.2644,65,48.88,1000000,56.61972,77,18.16,1000000
"Accra","GH","2025-05-06 11:21:28+02",29614,0.035,13.09936,57,68.36,1000000,27.35624,119,85.46,1000000
"Accra","GH","2025-05-06 03:57:39+02",29614,0.0,15.32734,113,62.1,1000000,24.93796,188,16.34,1000000
"Accra","GH","2025-05-06 11:22:21+02",29614,0.0,21.628,94,85.05,100000,18.23129,107,236.0,100000
