"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Rzeszów","PL","2025-05-06 16:33:23+02",5617,0.00000,592.07308,25,5.57000,25000000,101.58698,69,19.81000,25000000
"Warsaw","PL","2025-05-06 16:28:45+02",5617,0.00000,24.78466,360,106.76000,10000000,18.75000,116,26.52000,1000000
"Rzeszów","PL","2025-05-06 16:23:44+02",5617,0.00000,552.03526,16,2.77000,25000000,101.91664,114,38.26000,25000000
"Poznan","PL","2025-05-06 16:23:44+02",5617,0.00000,32.16397,146,61.10000,1000000,46.52778,332,68.89000,1000000
"Rzeszów","PL","2025-05-06 16:22:47+02",5617,0.19700,585.82487,24,7.08000,100000000,102.20685,116,24.93000,25000000
"Rzeszów","PL","2025-05-06 16:21:30+02",5617,0.00000,582.70985,22,4.96000,100000000,102.33174,113,28.36000,25000000
"Rzeszów","PL","2025-05-06 16:19:28+02",5617,0.00100,291.55394,26,5.10000,10000000,101.08122,115,31.57000,10000000
"Rzeszów","PL","2025-05-06 16:16:40+02",5617,0.00000,199.00062,112,42.48000,100000000,100.50000,140,31.41000,25000000
"Warsaw","PL","2025-05-06 16:10:50+02",5617,0.00000,21.85201,112,24.54000,10000000,46.22018,155,31.31000,10000000
"Warsaw","PL","2025-05-07 09:21:42+02",5617,0.00000,41.91935,271,67.49000,1000000,32.09581,285,57.28000,1000000
"Opole","PL","2025-05-07 09:01:16+02",5617,0.00000,755.28787,15,1.84000,250000000,2680.00000,12,1.11000,1000000
"Szczecin","PL","2025-05-07 16:51:34+02",5617,0.32800,590.84899,41,14.54000,25000000,99.29358,202,33.36000,25000000
"Warsaw","PL","2025-05-07 16:51:17+02",5617,0.00000,154.20385,94,37.11000,25000000,45.18885,181,66.04000,10000000
"Gdansk","PL","2025-05-07 16:46:47+02",5617,0.00000,3.89130,282,63.00000,1000000,17.27175,316,63.16000,10000000
"Szczecin","PL","2025-05-07 16:45:48+02",5617,0.28000,567.39239,44,16.30000,10000000,94.86502,231,60.97000,25000000
"Szczecin","PL","2025-05-07 16:44:58+02",5617,0.34300,593.65479,41,9.53000,25000000,99.57396,207,54.79000,25000000
"Szczecin","PL","2025-05-07 16:44:16+02",5617,0.28000,587.72350,38,6.72000,25000000,98.09185,203,48.72000,25000000
